Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ca-bc.provider.json	76117	-	0	0	0	0	0	0	11	73	0	0	0	0	0	0	0	2	0	0	346	274	0	0	0	10	0	1
fsh-generated/resources/Bundle-Example-AddLocation-Bundle.json	4471	5	0	0	0	0	9	0	0	350	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-AddLocationWithLinks-Bundle-Response.json	5526	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-AddLocationWithLinks-Bundle.json	8610	5	0	0	0	0	5	0	0	229	0	0	0	0	0	0	0	0	0	0	31	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json	6109	3	0	0	0	0	3	0	0	156	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json	24468	5	0	0	0	0	13	0	2	549	0	0	0	0	0	0	0	0	0	0	53	200	0	0	0	0	0	1
fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json	24462	6	0	0	0	0	5	0	1	161	0	0	0	0	0	0	0	0	0	0	53	180	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json	13577	4	0	0	0	0	3	0	1	88	0	0	0	0	0	0	0	0	0	0	34	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-Batch-Bundle-Response.json	61167	10	1	0	0	0	15	0	3	0	0	0	0	0	0	0	0	1	0	0	82	372	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-Batch-Bundle.json	38435	6	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	55	182	0	0	0	0	0	1
fsh-generated/resources/Bundle-Example-DistributeOrganization-Bundle.json	10632	4	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	29	8	0	0	0	0	0	0
